pregunta	opcion	resposta	feedback
Cuantos comandos/pasos son necesarios para que un nuevo disco duro este disponible en la carpeta /tmp/alumnos teniendo en cuenta que el disco duro está recién conectado y la carpeta /tmp/alumnos no existe. 	[]	A resposta correcta é: 4	Para este proceso es necesario ejecutar 4 comandos:fdisk para crear particiones del disco duromkfs para crear el sistema de ficheros (NTFS, EXT4, etc)mkdir para crear la carpeta /tmp/alumnos, dado que todavía no existemount para montar la partición en la carpeta /tmp/alumnos
"Como sysadmin quieres ver la carga promedia del sistema en tiempo real (cada 1 segundo), teniendo en cuenta los comandos vistos en clase y exceptuando el uso de `top` ¿Qué comando usarías? (Ejemplo de respuesta no aplicable a este ejercicio echo ""1"" >/var/log/dpkg.log ;  ps ; time )"	[]	A resposta correcta é: watch -n 1 uptime	
"Como sysadmin desear cambiar los permisos de una carpeta ""tareas"" para que pertenezcan al usuario ""alumno"" y al grupo ""aprobados"". ¿Qué comando/s emplearías? (Ejemplo de respuesta no aplicable a este ejercicio echo ""1"" >/var/log/dpkg.log ;  ps ; time )"	[]	A resposta correcta é: chown alumno:aprobados /tareas	
"Imagina que tienes un archivo de registro llamado ""/var/log/dpkg.log"" que contiene una gran cantidad de datos. Deseas encontrar todas las líneas que contienen la palabra ""status"" y de esas líneas, las que contienen únicamente la palabra ""ubuntu"" en ese archivo de registro. ¿Qué secuencias de comandos de Linux (vistos en clase) lograría esto? (ejemplo de respuesta no aplicable a este ejercicio echo ""1"" >/var/log/dpkg.log |  ps | time )"	[]	"A resposta correcta é: cat /var/log/dpkg.log | grep ""status"" | grep ""ubuntu"""	
El usuario empleado1 está intentando acceder a la carpeta /usr/empleado2 y no tiene permisos ¿Cómo sysadmin cómo lo solucionarías teniendo en cuenta la seguridad general?	['Añadiría al usuario empleado1 al grupo de sudoers', 'Cambiaría los permisos de la carpeta haciendo uso de `chmod -R +rw /usr/empleado2', 'Ninguna de las anteriores es correcta', 'Cambiaría los permisos de la carpeta haciendo uso de `chmod -R 777 /usr/empleado2']	A resposta correcta é: Ninguna de las anteriores es correcta	
Después de ejecutar el comando `ls -l` obtienes la siguiente descripción de ficheros. Teniendo en cuenta la información mostrada ¿Cuántos directorios existen?	[]	A resposta correcta é: 16	
Supongamos que deseas formatear una nueva partición que creaste en tu disco duro para que pueda ser utilizada para almacenar datos. ¿Cuál de los siguientes comandos sería apropiado para formatear la partición con un sistema de archivos ext4?	['fscreate ext4 /dev/sda1', 'mkdisk -fs ext4 /dev/sda1', 'format -ext4 /dev/sda1', 'mkfs -t ext4 /dev/sda1']	A resposta correcta é: mkfs -t ext4 /dev/sda1	
Escribe el comando (y sus opciones) que usarías para que se muestre desde cuando tu ordenador lleva encendido con el siguiente formato:Nota: No tiene por que coincidir el tiempo, tan solo el formato.	[]	A resposta correcta é: uptime -s	
"Imagina que deseas realizar un análisis exhaustivo del espacio en disco de tu sistema Linux. Primero, quieres obtener información detallada sobre el uso de espacio en disco de un directorio llamado ""documentos"". Luego, necesitas determinar la capacidad de almacenamiento y las particiones disponibles en tu disco duro (siempre que el primer comando se halla ejecutado de forma correcta). ¿Cuál sería la secuencia de comandos adecuada para llevar a cabo estas tareas?"	['du -sh /documentos && du /documentos', 'fdisk -l && du -sh /documentos && df -h', 'du -sh /documentos && df -h && fdisk -l', 'df -h && fdisk -l && du -sh /documentos']	A resposta correcta é: du -sh /documentos && df -h && fdisk -l	
"Imagina que necesitas conocer la cantidad total de espacio en disco utilizado por un directorio llamado ""datos"", verificar la capacidad de almacenamiento de tu sistema y, finalmente, listar las particiones de tu disco duro. ¿Cuál sería el orden correcto para ejecutar estos comandos?"	['du -sh /datos && df -h && fdisk -l', 'du -sh /datos && df -h /datos && fdisk -l', 'fdisk -l && du -sh /datos && df -h', 'df -h && fdisk -l && du -sh /datos']	A resposta correcta é: du -sh /datos && df -h && fdisk -l	
